ticketId,customerId,customerName,customerSegment,plan,channel,subject,bodyPreview,createdAt,lastReplyAt,lastReplyBy,replyCount,status,priority,assignedTo,category,previousOpenTicketsForCustomer
TKT-302239,ACCT-02252,Alimentos Fernandes,ENT,GROWTH,EMAIL,Sugestão: exportar em XLSX,Hoje só temos CSV — seria muito útil ter XLSX com formatação.,2026-01-01T00:10:53,2026-01-08T22:29:42,AGENT,1,CLOSED,MEDIUM,Carla Mendes,FEATURE_REQUEST,0
TKT-302899,ACCT-02237,Indústria Almeida,SMB,FREE,WHATSAPP,Dúvida sobre upgrade de plano,"Se eu mudar pra GROWTH agora, a cobrança é proporcional ou já vem cheia?",2026-01-01T00:39:50,2026-01-10T04:21:28,CUSTOMER,1,RESOLVED,MEDIUM,Ana Souza,,0
TKT-307181,ACCT-02443,Têxtil Andrade,MID,ENTERPRISE,CHAT,Como integro com nosso ERP?,Usamos um ERP próprio. Vocês têm SDK ou só REST?,2026-01-01T00:41:15,,,0,NEW,MEDIUM,,,0
TKT-307398,ACCT-02448,Logística Ribeiro do Brasil,SMB,STARTER,EMAIL,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T00:53:45,2026-01-04T20:13:37,AGENT,6,CLOSED,LOW,Ana Souza,,0
TKT-302557,ACCT-02325,Construtora Oliveira do Brasil,SMB,STARTER,CHAT,Como configuro alertas por email?,Quero receber um email quando o saldo cair abaixo de R$1.000.,2026-01-01T00:57:53,2026-01-05T07:16:47,AGENT,1,RESOLVED,LOW,Bruno Lima,HOW_TO,0
TKT-300856,ACCT-02489,Farma Costa S.A.,MID,GROWTH,EMAIL,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-01T01:24:18,2026-01-07T07:12:56,CUSTOMER,7,RESOLVED,LOW,Diego Cruz,HOW_TO,0
TKT-300558,ACCT-02195,Farma Souza do Brasil,ENT,ENTERPRISE,EMAIL,Como integro com nosso ERP?,Usamos um ERP próprio. Vocês têm SDK ou só REST?,2026-01-01T01:33:59,2026-01-03T18:47:52,AGENT,5,CLOSED,MEDIUM,Ana Souza,,0
TKT-301208,ACCT-02693,Farma Rodrigues do Brasil,ENT,ENTERPRISE,EMAIL,Pix não foi reconhecido,Pago o boleto via Pix ontem mas a plataforma ainda mostra como em aberto. Comprovante anexo.,2026-01-01T01:48:38,2026-01-08T04:28:55,CUSTOMER,2,IN_PROGRESS,HIGH,Ana Souza,,0
TKT-302426,ACCT-02143,Atacadista Santos do Brasil,SMB,FREE,EMAIL,Onde vejo o histórico de alterações?,Quero ver quem mudou o status daquele registro semana passada.,2026-01-01T02:08:08,2026-01-05T05:30:07,CUSTOMER,6,CLOSED,HIGH,Bruno Lima,,0
TKT-302138,ACCT-02006,Soluções Rodrigues do Brasil,SMB,FREE,CHAT,Indicação de cliente,Tem programa de referral? Posso indicar 2 empresas amigas.,2026-01-01T02:13:30,2026-01-15T00:08:34,AGENT,4,RESOLVED,URGENT,Henrique Faria,OTHER,0
TKT-301900,ACCT-02582,Indústria Santos ME,SMB,STARTER,EMAIL,Upload de CSV trava em 99%,Tento subir um arquivo de 2MB e ele fica preso em 99% e nunca finaliza.,2026-01-01T02:25:25,2026-01-01T21:50:31,AGENT,4,RESOLVED,MEDIUM,Diego Cruz,BUG,0
TKT-300766,ACCT-02245,Alimentos Ferreira ME,MID,GROWTH,EMAIL,Dashboard não carrega após login,A página principal fica em loading infinito desde a manhã de hoje.,2026-01-01T02:25:26,2026-01-09T16:43:12,CUSTOMER,8,RESOLVED,URGENT,Ana Souza,,0
TKT-306564,ACCT-02648,Alimentos Ribeiro S.A.,SMB,STARTER,EMAIL,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T02:48:39,2026-01-02T02:50:35,AGENT,1,CLOSED,MEDIUM,Diego Cruz,,0
TKT-302075,ACCT-02371,Têxtil Santos S.A.,SMB,STARTER,WHATSAPP,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T03:08:33,2026-01-02T23:35:55,CUSTOMER,2,RESOLVED,MEDIUM,Henrique Faria,,0
TKT-301425,ACCT-02441,Comércio Costa ME,SMB,STARTER,CHAT,Como adiciono um novo usuário?,Sou admin e não acho onde convidar mais alguém.,2026-01-01T03:24:04,2026-01-12T15:20:15,CUSTOMER,3,RESOLVED,LOW,Erica Tavares,,0
TKT-305970,ACCT-02025,Logística Oliveira,MID,STARTER,EMAIL,Dashboard não carrega após login,A página principal fica em loading infinito desde a manhã de hoje.,2026-01-01T03:26:10,2026-01-11T22:13:12,AGENT,2,CLOSED,MEDIUM,Felipe Nunes,BUG,0
